	votes	nleaves	rank	clade	feature	balance
50	Xanthomonadales	1	Rank5	+	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
51	Xanthomonadaceae	1	Rank6	+	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
52	Stenotrophomonas	1	Rank7	+	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
53	Gammaproteobacteria	1	Rank4	-	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
54	Xanthomonadales	1	Rank5	-	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
55	Xanthomonadaceae	1	Rank6	-	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
56	Stenotrophomonas	1	Rank7	-	b33	Rank8_unclassified Stenotrophomonas/Rank8_unclassified Stenotrophomonas
57	Gammaproteobacteria	2	Rank4	+	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
58	Betaproteobacteriales	2	Rank5	+	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
59	Burkholderiaceae	2	Rank6	+	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
60	Burkholderia-Caballeronia-Paraburkholderia	2	Rank7	+	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
61	Gammaproteobacteria	1	Rank4	-	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
62	Betaproteobacteriales	1	Rank5	-	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
63	Burkholderiaceae	1	Rank6	-	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
64	Burkholderia-Caballeronia-Paraburkholderia	1	Rank7	-	b44	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
65	Gammaproteobacteria	1	Rank4	+	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
66	Betaproteobacteriales	1	Rank5	+	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
67	Burkholderiaceae	1	Rank6	+	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
68	Burkholderia-Caballeronia-Paraburkholderia	1	Rank7	+	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
69	Gammaproteobacteria	1	Rank4	-	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
70	Betaproteobacteriales	1	Rank5	-	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
71	Burkholderiaceae	1	Rank6	-	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
72	Burkholderia-Caballeronia-Paraburkholderia	1	Rank7	-	b45	Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia/Rank8_unclassified Burkholderia-Caballeronia-Paraburkholderia
73	Gammaproteobacteria	1	Rank4	+	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
74	Betaproteobacteriales	1	Rank5	+	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
75	Burkholderiaceae	1	Rank6	+	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
76	Massilia	1	Rank7	+	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
77	Gammaproteobacteria	1	Rank4	-	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
78	Betaproteobacteriales	1	Rank5	-	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
79	Burkholderiaceae	1	Rank6	-	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
80	Massilia	1	Rank7	-	b51	Rank8_unclassified Massilia/Rank8_unclassified Massilia
81	Gammaproteobacteria	1	Rank4	+	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
82	Pseudomonadales	1	Rank5	+	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
83	Moraxellaceae	1	Rank6	+	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
84	Acinetobacter	1	Rank7	+	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
85	Gammaproteobacteria	1	Rank4	-	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
86	Pseudomonadales	1	Rank5	-	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
87	Moraxellaceae	1	Rank6	-	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
88	Acinetobacter	1	Rank7	-	b72	Rank8_unclassified Acinetobacter/Rank8_unclassified Acinetobacter
89	Alphaproteobacteria	20	Rank4	+	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
90	Sphingomonadales	20	Rank5	+	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
91	Sphingomonadaceae	20	Rank6	+	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
92	Sphingomonas	20	Rank7	+	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
93	Alphaproteobacteria	1	Rank4	-	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
94	Sphingomonadales	1	Rank5	-	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
95	Sphingomonadaceae	1	Rank6	-	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
96	Sphingomonas	1	Rank7	-	b92	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
97	Alphaproteobacteria	3	Rank4	+	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
98	Sphingomonadales	3	Rank5	+	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
99	Sphingomonadaceae	3	Rank6	+	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
100	Sphingomonas	3	Rank7	+	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
101	Alphaproteobacteria	1	Rank4	-	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
102	Sphingomonadales	1	Rank5	-	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
103	Sphingomonadaceae	1	Rank6	-	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
104	Sphingomonas	1	Rank7	-	b94	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
105	Alphaproteobacteria	3	Rank4	+	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
106	Sphingomonadales	3	Rank5	+	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
107	Sphingomonadaceae	3	Rank6	+	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
108	Sphingomonas	3	Rank7	+	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
109	Alphaproteobacteria	2	Rank4	-	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
110	Sphingomonadales	2	Rank5	-	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
111	Sphingomonadaceae	2	Rank6	-	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
112	Sphingomonas	2	Rank7	-	b108	Rank8_unclassified Sphingomonas/Rank8_unclassified Sphingomonas
113	Alphaproteobacteria	7	Rank4	+	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
114	Caulobacterales	7	Rank5	+	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
115	Caulobacteraceae	7	Rank6	+	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
116	Caulobacter	3	Rank7	+	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
117	Phenylobacterium	4	Rank7	+	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
118	Alphaproteobacteria	3	Rank4	-	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
119	Caulobacterales	3	Rank5	-	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
120	Caulobacteraceae	3	Rank6	-	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
121	Asticcacaulis	3	Rank7	-	b116	Rank6_Caulobacteraceae/Rank7_Asticcacaulis
122	Alphaproteobacteria	2	Rank4	+	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
123	Rhizobiales	2	Rank5	+	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
124	Labraceae	2	Rank6	+	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
125	Labrys	2	Rank7	+	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
126	Alphaproteobacteria	1	Rank4	-	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
127	Rhizobiales	1	Rank5	-	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
128	Labraceae	1	Rank6	-	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
129	Labrys	1	Rank7	-	b141	Rank8_unclassified Labrys/Rank8_unclassified Labrys
130	Alphaproteobacteria	1	Rank4	+	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
131	Rhizobiales	1	Rank5	+	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
132	Labraceae	1	Rank6	+	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
133	Labrys	1	Rank7	+	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
134	Alphaproteobacteria	1	Rank4	-	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
135	Rhizobiales	1	Rank5	-	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
136	Labraceae	1	Rank6	-	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
137	Labrys	1	Rank7	-	b142	Rank8_unclassified Labrys/Rank8_unclassified Labrys
138	Acidobacteriia	1	Rank4	+	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
139	Acidobacteriales	1	Rank5	+	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
140	Acidobacteriaceae (Subgroup 1)	1	Rank6	+	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
141	Acidipila	1	Rank7	+	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
142	Acidobacteriia	1	Rank4	-	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
143	Acidobacteriales	1	Rank5	-	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
144	Acidobacteriaceae (Subgroup 1)	1	Rank6	-	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
145	Acidipila	1	Rank7	-	b234	Rank8_unclassified Acidipila/Rank8_unclassified Acidipila
146	Thermoleophilia	3	Rank4	+	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
147	Solirubrobacterales	3	Rank5	+	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
148	Solirubrobacteraceae	3	Rank6	+	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
149	Solirubrobacter	3	Rank7	+	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
150	Thermoleophilia	5	Rank4	-	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
151	Solirubrobacterales	5	Rank5	-	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
152	Solirubrobacteraceae	5	Rank6	-	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
153	Solirubrobacter	5	Rank7	-	b265	Rank8_unclassified Solirubrobacter/Rank8_unclassified Solirubrobacter
154	Actinobacteria	4	Rank4	+	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
155	Corynebacteriales	4	Rank5	+	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
156	Mycobacteriaceae	4	Rank6	+	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
157	Mycobacterium	4	Rank7	+	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
158	Actinobacteria	1	Rank4	-	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
159	Corynebacteriales	1	Rank5	-	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
160	Mycobacteriaceae	1	Rank6	-	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
161	Mycobacterium	1	Rank7	-	b292	Rank8_unclassified Mycobacterium/Rank8_unclassified Mycobacterium
162	Actinobacteria	6	Rank4	+	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
163	Propionibacteriales	6	Rank5	+	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
164	Nocardioidaceae	6	Rank6	+	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
165	Nocardioides	6	Rank7	+	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
166	Actinobacteria	3	Rank4	-	b324	Rank8_unclassified Nocardioides/Rank8_unclassified Nocardioides
