	votes	nleaves	rank	clade	feature	balance
241	Cytophagales	2	Rank5	-	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
242	Cytophagaceae	2	Rank6	-	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
243	Rhodocytophaga	2	Rank7	-	b496	Rank5_Cytophagales/Rank8_unclassified Rhodocytophaga
244	Bacteroidia	5	Rank4	+	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
245	Cytophagales	5	Rank5	+	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
246	Spirosomaceae	5	Rank6	+	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
247	Dyadobacter	5	Rank7	+	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
248	Bacteroidia	1	Rank4	-	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
249	Cytophagales	1	Rank5	-	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
250	Spirosomaceae	1	Rank6	-	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
251	Dyadobacter	1	Rank7	-	b500	Rank8_unclassified Dyadobacter/Rank8_unclassified Dyadobacter
252	Bacteroidia	1	Rank4	+	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
253	Cytophagales	1	Rank5	+	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
254	Microscillaceae	1	Rank6	+	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
255	Ohtaekwangia	1	Rank7	+	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
256	Bacteroidia	1	Rank4	-	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
257	Cytophagales	1	Rank5	-	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
258	Microscillaceae	1	Rank6	-	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
259	Ohtaekwangia	1	Rank7	-	b519	Rank8_unclassified Ohtaekwangia/Rank8_unclassified Ohtaekwangia
260	Bacteroidia	1	Rank4	+	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
261	Chitinophagales	1	Rank5	+	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
262	Chitinophagaceae	1	Rank6	+	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
263	Chitinophaga	1	Rank7	+	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
264	Bacteroidia	1	Rank4	-	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
265	Chitinophagales	1	Rank5	-	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
266	Chitinophagaceae	1	Rank6	-	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
267	Chitinophaga	1	Rank7	-	b542	Rank8_unclassified Chitinophaga/Rank8_unclassified Chitinophaga
268	Bacteroidia	1	Rank4	+	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
269	Chitinophagales	1	Rank5	+	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
270	Chitinophagaceae	1	Rank6	+	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
271	Parafilimonas	1	Rank7	+	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
272	Bacteroidia	1	Rank4	-	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
273	Chitinophagales	1	Rank5	-	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
274	Chitinophagaceae	1	Rank6	-	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
275	Parafilimonas	1	Rank7	-	b551	Rank8_unclassified Parafilimonas/Rank8_unclassified Parafilimonas
276	Bacteroidia	6	Rank4	+	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
277	Chitinophagales	6	Rank5	+	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
278	Chitinophagaceae	6	Rank6	+	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
279	Flavisolibacter	2	Rank7	+	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
280	Lacibacter	2	Rank7	+	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
281	Sediminibacterium	2	Rank7	+	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
282	Bacteroidia	11	Rank4	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
283	Chitinophagales	11	Rank5	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
284	Chitinophagaceae	11	Rank6	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
285	Flavitalea	2	Rank7	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
286	Niastella	1	Rank7	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
287	Parasegetibacter	1	Rank7	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
288	Pseudoflavitalea	2	Rank7	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
289	Terrimonas	5	Rank7	-	b552	Rank6_Chitinophagaceae/Rank6_Chitinophagaceae
290	Bacteroidia	1	Rank4	+	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
291	Flavobacteriales	1	Rank5	+	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
292	Flavobacteriaceae	1	Rank6	+	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
293	Flavobacterium	1	Rank7	+	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
294	Bacteroidia	1	Rank4	-	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
295	Flavobacteriales	1	Rank5	-	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
296	Flavobacteriaceae	1	Rank6	-	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
297	Flavobacterium	1	Rank7	-	b605	Rank8_unclassified Flavobacterium/Rank8_unclassified Flavobacterium
298	Bacteroidia	2	Rank4	+	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
299	Sphingobacteriales	2	Rank5	+	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
300	Sphingobacteriaceae	2	Rank6	+	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
301	Mucilaginibacter	2	Rank7	+	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
302	Bacteroidia	1	Rank4	-	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
303	Sphingobacteriales	1	Rank5	-	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
304	Sphingobacteriaceae	1	Rank6	-	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
305	Mucilaginibacter	1	Rank7	-	b622	Rank8_unclassified Mucilaginibacter/Rank8_unclassified Mucilaginibacter
306	Bacteroidia	2	Rank4	+	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
307	Sphingobacteriales	2	Rank5	+	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
308	Sphingobacteriaceae	2	Rank6	+	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
309	Pedobacter	2	Rank7	+	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
310	Bacteroidia	1	Rank4	-	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
311	Sphingobacteriales	1	Rank5	-	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
312	Sphingobacteriaceae	1	Rank6	-	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
313	Pedobacter	1	Rank7	-	b641	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
314	Bacteroidia	1	Rank4	+	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
315	Sphingobacteriales	1	Rank5	+	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
316	Sphingobacteriaceae	1	Rank6	+	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
317	Pedobacter	1	Rank7	+	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
318	Bacteroidia	1	Rank4	-	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
319	Sphingobacteriales	1	Rank5	-	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
320	Sphingobacteriaceae	1	Rank6	-	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
321	Pedobacter	1	Rank7	-	b642	Rank8_unclassified Pedobacter/Rank8_unclassified Pedobacter
322	Gemmatimonadetes	1	Rank4	+	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
323	Gemmatimonadales	1	Rank5	+	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
324	Gemmatimonadaceae	1	Rank6	+	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
325	Gemmatimonas	1	Rank7	+	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
326	Gemmatimonadetes	4	Rank4	-	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
327	Gemmatimonadales	4	Rank5	-	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
328	Gemmatimonadaceae	4	Rank6	-	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
329	Gemmatimonas	4	Rank7	-	b650	Rank8_unclassified Gemmatimonas/Rank8_unclassified Gemmatimonas
